OaSIS profile code,Label
14403.01,Purchasing control workers
14403.02,Inventory control workers
14404.00,Dispatchers
14405.00,Transportation route and crew schedulers
20010.00,Engineering managers
20011.01,Architecture and urban planning managers
20011.02,Science Managers
20012.00,Computer and information systems managers
21100.01,Physicists
21100.02,Astronomers
21101.00,Chemists
21102.01,Geoscientists
21102.02,Oceanographers
21103.00,Meteorologists and climatologists
21109.01,Metallurgists
21109.02,Materials scientists
21109.03,Soil scientists
21109.04,Astronauts
21110.01,Biologists
21110.02,Microbiologists and cell and molecular biologists
21111.00,Forestry professionals
21112.00,"Agricultural representatives, consultants and specialists"
21120.00,Public and environmental health and safety professionals
21200.00,Architects
21201.00,Landscape architects
21202.00,Urban and land use planners
21203.00,Land surveyors
21210.01,Mathematicians
21210.02,Statisticians
21210.03,Actuaries
21211.00,Data scientists
21220.00,Cybersecurity specialists
21221.00,Business system specialists
21222.00,Information systems specialists
21223.01,Database analysts
21223.02,Data administrators
21230.00,Computer systems developers and programmers
21231.00,Software engineers and designers
21232.00,Software developers and programmers
21233.00,Web designers
21234.00,Web developers and programmers
21300.00,Civil engineers
21301.00,Mechanical engineers
21310.00,Electrical and electronics engineers
21311.01,Computer and telecommunications hardware engineers
21311.02,Network system and data communication engineers
21320.00,Chemical engineers
21321.00,Industrial and manufacturing engineers
21322.00,Metallurgical and materials engineers
21330.00,Mining engineers
21331.00,Geological engineers
21332.00,Petroleum engineers
21390.00,Aerospace engineers
21399.01,Agricultural and bio-resource engineers
21399.02,Biomedical engineers
21399.03,Engineering physicists and engineering scientists
21399.04,Marine and naval engineers
21399.05,Textile engineers
22100.01,Chemical technologists
22100.02,Chemical technicians
22101.01,Geological and mineral technologists
22101.02,Geological and mineral technicians
22110.01,Biological technologists
22110.02,Biological technicians
22111.01,Fish and fish products inspectors
22111.02,Fruit and vegetables inspectors
22111.03,Grain inspectors
22111.04,Meat inspectors
22111.05,Plant protection inspectors
22112.00,Forestry technologists and technicians
22113.00,Conservation and fishery officers
22114.01,Arborists and tree service technicians
22114.02,Golf course superintendents
22114.03,Horticulturists
22114.04,Landscape designers and landscape architectural technicians and technologists
22114.05,Landscape gardeners
22114.06,Landscapers
22114.07,Lawn care specialists
22210.00,Architectural technologists and technicians
22211.00,Industrial designers
22212.01,Drafting technologists
22212.02,Drafting technicians
22213.01,Land survey technologists
22213.02,Land survey technicians
22214.01,Cartographic technologists and technicians
22214.02,Photogrammetric technologists and technicians
22214.03,Aerial survey and remote sensing technologists and technicians
22214.04,Geographic information system (GIS) technologists and technicians
22214.05,Meteorological technologists and technicians
22220.01,Computer and network operators
22220.02,Web technicians
22221.00,User support technicians
22222.00,Information systems testing technicians
22230.00,Non-destructive testers and inspectors
22231.01,Motor Vehicle defects investigators
22231.02,Railway accident investigation officers
22231.03,Airworthiness inspectors
22231.04,"Inspectors, weights and measures"
22231.05,Oil and gas drilling rig inspectors
22232.00,Occupational health and safety specialists
22233.00,Construction inspectors
22300.01,Civil engineering technologists
22300.02,Civil engineering technicians
22301.01,Mechanical engineering technologists
22301.02,Mechanical engineering technicians
22302.01,Industrial engineering and manufacturing technologists
22302.02,Industrial engineering and manufacturing technicians
22303.00,Construction estimators
22310.01,Electrical and electronics engineering technologists
22310.02,Electrical and electronics engineering technicians
22311.00,Electronic service technicians (household and business equipment)
22312.00,Industrial instrument technicians and mechanics
22313.01,Aircraft instrument mechanics and technicians
22313.02,Aircraft electrical mechanics and technicians
22313.03,Avionics mechanics and technicians
22313.04,Avionics inspectors
30010.00,Managers in health care
31100.01,Anesthesiologists
31100.02,"Internists, general"
31100.03,"Pediatricians, general"
31100.04,Psychiatrists
31100.05,Allergists and immunologists
31100.06,Hospitalists
31100.07,Neurologists
31100.08,Nuclear medicine physicians
31100.09,Dermatologists
31100.10,Physical medicine and rehabilitation physicians
31100.11,Preventive medicine physicians
31100.12,Radiologists
31100.13,Other specialists in clinical medicine
31100.14,"Specialists in laboratory medicine, including pathologists"
31101.01,General surgery
31101.02,Obstetricians and gynecologists
31101.03,Ophthalmologists
31101.04,Urologists
31101.05,Other specialists in surgery
31102.00,General practitioners and family physicians
31103.00,Veterinarians
31110.01,"Dentists, General"
31110.02,Oral and Maxillofacial Surgeons
31110.03,Orthodontists
31110.04,Prosthodontists
31111.00,Optometrists
31112.01,Audiologists
31112.02,Speech language pathologists
31120.01,Community pharmacists and hospital pharmacists
31120.02,Industrial pharmacists
31121.00,Dietitians and nutritionists
31200.00,Psychologists
31201.00,Chiropractors
31202.00,Physiotherapists
31203.00,Occupational therapists
31204.01,Recreational therapists
31204.02,Kinesiologists and exercise therapists
31209.01,Doctors of Podiatric Medicine
31209.02,Chiropodists and diploma or first-degree trained podiatrists
31209.03,Doctors of naturopathics medicine
31209.04,Doctors of osteopathic medicine
31300.00,Nursing coordinators and supervisors
31301.01,General duty registered nurses
31301.02,Occupational health nurses
31301.03,Community Health Nurses
31301.04,Registered psychiatric nurses
31301.05,Nursing researchers and consultants
31301.06,Clinical nurses
31302.00,Nurse practitioners
31303.01,Physician Assistants
31303.02,Midwives
31303.03,Genetic counsellors
31303.04,Orthoptists
31303.05,Pathologist assistants
32100.00,Opticians
32101.01,Licensed practical nurses
32101.02,Operating room technicians
32102.00,Paramedical occupations
32103.01,Respiratory therapists
32103.02,Clinical perfusionists
32103.03,Cardiopulmonary  technologists
32104.00,Animal health technologists and veterinary technicians
32109.01,Hearing instrument practitioners
32109.02,Communicative disorders assistants and speech-language pathology assistants
32109.03,Ophthalmic technologists and technicians
32109.04,Physical Rehabilitation therapists
32109.05,Physiotherapy assistants and occupational therapy assistants
32110.00,Denturists
32111.01,Dental hygienists
32111.02,Dental therapists
32112.00,Dental technologists and technicians
32120.00,Medical laboratory technologists
32121.01,Radiological technologists
32121.02,Nuclear medicine technologists
32121.03,Radiation therapists
32121.04,Magnetic Resonance Technologist
32122.00,Medical sonographers
32123.01,Cardiology technologists
32123.02,Electrophysiological technologists
32124.00,Pharmacy technicians
32129.01,Dietary technicians
32129.02,Ocularists
32129.03,Prosthetists and orthotists
32129.04,Prosthetic and orthotic technicians
32200.01,Traditional Chinese medicine practitioners
32200.02,Acupuncturists
32201.00,Massage therapists
32209.01,Herbalists
32209.02,Osteopathic manual practitioners
32209.03,Homeopaths
32209.04,Reflexologists
32209.05,Holistic nutritionists
32209.06,Naturotherapists
33100.01,Dental assistants
33100.02,Dental Laboratory Assistants
33101.00,Medical laboratory assistants and related technical occupations
33102.00,"Nurse aides, orderlies and patient service associates"
33103.00,Pharmacy technical assistants and pharmacy assistants
33109.01,Audiometric technicians
33109.02,Orthopedic technologists
33109.03,Rehabilitation aides
33109.04,Ophthalmic assistants
33109.05,Optical/ophthalmic laboratory technicians and assistants
33109.06,Sterile processing technicians
33109.07,Blood donor clinic assistants
33109.08,Morgue attendants
40010.00,Government managers - health and social policy development and program administration
40011.00,"Government managers - economic analysis, policy development and program administration"
40012.00,Government managers - education policy development and program administration
40019.00,Other managers in public administration
40020.01,Faculty administrators
40020.02,Registrars
40020.03,Administrator of vocational training schools
40021.01,School principals
40021.02,Administrators of elementary and secondary education
40030.00,"Managers in social, community and correctional services"
40040.00,Commissioned police officers and related occupations in public protection services
40041.00,Fire chiefs and senior firefighting officers
40042.00,Commissioned officers of the Canadian Armed Forces
41100.00,Judges
41101.00,Lawyers and Quebec notaries
41200.00,University professors and lecturers
41201.01,Post-secondary teaching assistants
41201.02,Post-secondary research assistants
41210.00,College and other vocational instructors
41220.00,Secondary school teachers
41221.00,Elementary school and kindergarten teachers
41300.00,Social workers
41301.00,Therapists in counselling and related specialized therapies
41302.00,Religious leaders
41310.01,Police investigators
41310.02,Coroners and medical examiners
41311.00,Probation and parole officers
41320.00,Educational counsellors
41321.00,Career development practitioners and career counsellors (except education)
41400.01,Ergonomists
41400.02,Occupational or industrial hygienists
41400.03,Patent agents
41400.04,Science policy and program officers
41400.05,Technology transfer officers
41401.00,Economists and economic policy researchers and analysts
41402.00,Business development officers and market researchers and analysts
41403.01,Social policy researchers
41403.02,Home economists
41403.03,Housing policy analysts
41403.04,Immigration and citizenship consultants
41403.05,International aid and development project officers
41403.06,Social survey researchers
41403.07,Social service planners
41404.00,"Health policy researchers, consultants and program officers"
41405.00,"Education policy researchers, consultants and program officers"
41406.01,"Recreation, sports and fitness consultants"
41406.02,"Recreation, sports and fitness policy analysts"
41406.03,"Recreation, sports and fitness program supervisors"
41407.00,Program officers unique to government
41409.01,Anthropologists
41409.02,Archaeologists
41409.03,Geographers
41409.04,Historians
41409.05,Linguists
41409.06,Political scientists
41409.07,Psychometricians
41409.08,Sociologists
41409.09,Other social science professionals
42100.00,Police officers (except commissioned)
42101.00,Firefighters
42102.00,Specialized members of the Canadian Armed Forces
42200.01,Paralegals
42200.02,Independent paralegals
42200.03,Notaries public
42200.04,Trademark agents
42200.05,Justice of the peace
42201.00,Social and community service workers
42202.01,Early childhood educators
42202.02,Early childhood educator assistants
42203.00,Instructors of persons with disabilities
42204.00,Religion workers
43100.00,Elementary and secondary school teacher assistants
43109.01,Driving instructors
43109.02,Driver's license examiners
43109.03,Sewing instructors
43109.04,Modelling instructors
43200.00,Sheriffs and bailiffs
43201.00,Correctional service officers
43202.01,Animal control officer
43202.02,By-law enforcement officers
43202.03,Commercial transport inspectors
43202.04,Garbage collection inspectors
43202.05,Liquor licence inspectors
43202.06,Parking control officers
43202.07,Taxi inspectors
43202.08,Zoning inspectors
43203.01,Border services and customs officers
43203.02,Immigration officers
43204.00,Operations Members of the Canadian Armed Forces
44100.01,Home child care providers
44100.02,Foster parents
44101.00,"Home support workers, caregivers and related occupations"
44200.00,Primary combat members of the Canadian Armed Forces
45100.01,Student monitors
45100.02,Crossing guards
50010.00,"Library, archive, museum and art gallery managers"
50011.00,"Managers - publishing, motion pictures, broadcasting and performing arts"
50012.00,"Recreation, sports and fitness program and service directors"
51100.00,Librarians
51101.01,Conservators
51101.02,Curators
51102.00,Archivists
51110.00,Editors
51111.01,"Novelists, playwrights, script writers, poets and other creative writers"
51111.02,Content writers (non-technical)
51111.03,Copywriters
51112.00,Technical writers
51113.00,Journalists
51114.01,Translators and translator-revisers
51114.02,Terminologists
51114.03,Interpreters
51114.04,Sign language Interpreters
51120.01,"Film, radio, television and video game producers"
51120.02,Directors
51120.03,Choreographers
51120.04,Art directors
51120.05,Film editors
51120.06,Record producers
51120.07,Directors of photography
51121.01,Conductors
51121.02,Composers
51121.03,Arrangers
51122.01,Musicians
51122.02,Singers
51122.03,Teachers of music or voice
52100.01,Library Technicians
52100.02,Public archive technicians
52110.00,Film and video camera operators
52111.00,Graphic arts technicians
52112.00,Broadcast technicians
52113.00,Audio and video recording technicians
52114.00,Announcers and other broadcasters
52119.01,Floor managers
52119.02,Key grips
52119.03,Gaffers and lighting technicians
52119.04,Stunt co-ordinators and special effects technicians
52119.05,Make-up artists
52119.06,Costumiers
52119.07,Settings shop foremen and property masters
52120.01,Graphic designers
52120.02,Illustrators
52121.00,Interior designers and interior decorators
53100.01,Conservation and restoration technicians
53100.02,Preparators and picture framers
53100.03,Museum interpreters
53100.04,"Curatorial assistants, museum extension officers, museology technicians and museum registrars and cataloguers"
53100.05,Taxidermists
53110.00,Photographers
53111.01,Camera crane operators
53111.02,Motion picture projectionists
53111.03,Props persons and set builders
53111.04,Scripts assistants
53111.05,Grips and riggers
53111.06,Dressers
53111.07,Production assistants
53120.01,Dancers
53120.02,Dance teachers
53121.01,Actors and comedians
53121.02,Acting teachers
53121.03,Circus and other performers
53122.01,Painters
53122.02,Sculptors
53122.03,Art instructors and teachers
53123.01,Theatre designers
53123.02,Fashion designers
53123.03,Exhibit designers
53124.01,Carvers
53124.02,Glass blowers
53124.03,Metal art workers
53124.04,Potters
53124.05,Stained glass artists
53124.06,Instrument makers
53124.07,Weavers
53124.08,Craft instructors
53124.09,Artistic floral arrangers
53125.00,"Patternmakers - textile, leather and fur products"
53200.00,Athletes
53201.01,Coaches
53201.02,Sports scouts
53202.00,Sports officials and referees
54100.01,Program leaders and instructors in recreation and sport
54100.02,Fitness appraisers
55109.01,Buskers
55109.02,Magicians and illusionists
55109.03,Fashion Models
55109.04,Influencers
60010.00,Corporate sales managers
60020.00,Retail and wholesale trade managers
60030.00,Restaurant and food service managers
60031.00,Accommodation service managers
60040.00,Managers in customer and personal services
62010.00,Retail sales supervisors
62020.00,Food service supervisors
62021.00,Executive housekeepers
62022.00,"Accommodation, travel, tourism and related services supervisors"
62023.01,Customer service representatives supervisors - financial services
62023.02,Customer service representatives supervisors (except financial services)
62024.00,Cleaning supervisors
62029.00,Other services supervisors
62100.00,Technical sales specialists - wholesale trade
62101.00,Retail and wholesale buyers
62200.01,Head Chefs
62200.02,Sous-Chefs
62200.03,Specialist chefs
62201.01,Funeral directors
62201.02,Embalmers
62202.01,Jewellers and related workers
62202.02,Watch repairers
63100.00,Insurance agents and brokers
63101.00,Real estate agents and salespersons
63102.00,Financial sales representatives
63200.00,Cooks
63201.00,Butchers - retail and wholesale
63202.00,Bakers
63210.01,Hairstylists
63210.02,Barbers
63211.01,Estheticians
63211.02,Cosmeticians
63211.03,Electrologists
63211.04,Manicurists and pedicurist
63211.05,Scalp treatment specialists
63211.06,Tattoo artists
63211.07,Hair replacement technicians (non-medical)
63220.01,Shoemakers
63220.02,Shoe repairers
63221.00,Upholsterers
64100.01,Retail salespersons
64100.02,Visual merchandisers
64101.00,Sales and account representatives - wholesale trade (non-technical)
64200.01,"Tailors, Dressmakers and Alterationists"
64200.02,Furriers
64200.03,Milliners
64201.01,Image consultants
64201.02,Wedding consultants
64201.03,Weight loss consultants
64300.00,Maîtres d'hôtel and hosts/hostesses
64301.00,Bartenders
64310.00,Travel counsellors
64311.01,Flight attendants
64311.02,"Flight pursers, customer service directors and passenger service directors"
64311.03,Ship pursers
64312.01,"Airline passenger, baggage and ticket agents"
64312.02,Airline cargo and freight agents
64312.03,Airline reservation agents
64313.01,Ticket agents and related clerks (except airline)
64313.02,Cargo service representatives (except airline)
64314.00,Hotel front desk clerks
64320.01,Tour guides
64320.02,Travel guides
64321.00,Casino workers
64322.00,Outdoor sport and recreational guides
64400.00,Customer services representatives - financial institutions
64401.00,Postal services representatives
64409.00,Other customer and information services representatives
64410.01,Security guards
64410.02,Armoured car guards
64410.03,Corporate security officers
64410.04,Private investigators
64410.05,Retail loss prevention officers
65100.00,Cashiers
65101.00,Automotive and watercraft service station attendants
65102.00,"Store shelf stockers, clerks and order fillers"
65109.01,Demonstrators and direct distributors
65109.02,Door-to-door salespersons and street vendors
65109.03,Telephone solicitors and telemarketers
65200.00,Food and beverage servers
65201.01,Food counter attendants and food preparers
65201.02,Kitchen helpers
65201.03,Food service helpers
65201.04,Dishwashers
65202.00,Meat cutters and fishmongers - retail and wholesale
65210.01,Guest service attendants and baggage porters
65210.02,Ship and train service attendants
65210.03,Facilities workers
65211.01,Amusement attraction operators
65211.02,"Attendants in amusement, recreation and sport"
65220.00,Pet groomers and animal care workers
65229.00,Other support occupations in personal services
65310.01,Light duty cleaners
65310.02,Housekeepers
65311.01,Carpet and upholstery cleaners
65311.02,Chimney cleaners and sandblasters
65311.03,Furnace and ventilation system cleaners
65311.04,Vehicle cleaners
65311.05,Window cleaners
65312.00,"Janitors, caretakers and heavy-duty cleaners"
65320.01,Dry cleaning and laundry machine operators
65320.02,Dry cleaning and laundry inspectors and assemblers
65320.03,"Ironing, pressing and finishing workers"
65329.01,Beauty salon attendants
65329.02,Door attendants
65329.03,Funeral home attendants
65329.04,Laundromat attendants
65329.05,Parking lot attendants and car jockeys
65329.06,Ticket takers and ushers
65329.07,Other elemental service workers
70010.00,Construction managers
70011.00,Home building and renovation managers
70012.01,Facility operation managers
70012.02,Maintenance managers
70020.01,"Transportation managers, operations"
70020.02,"Transportation managers, freight traffic"
70021.00,Postal and courier services managers
72010.00,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations"
72011.00,"Contractors and supervisors, electrical trades and telecommunications occupations"
72012.00,"Contractors and supervisors, pipefitting trades"
72013.00,"Contractors and supervisors, carpentry trades"
72014.00,"Contractors and supervisors, other construction trades, installers, repairers and servicers"
72020.00,"Contractors and supervisors, mechanic trades"
72021.00,"Contractors and supervisors, heavy equipment operator crews"
72022.00,"Supervisors, printing and related occupations"
72023.00,"Supervisors, railway transport operations"
72024.00,"Supervisors, motor transport and other ground transit operators"
72025.00,"Supervisors, mail and message distribution occupations"
72100.01,Machinists
72100.02,Machining and tooling inspectors
72101.01,Tool and die makers
72101.02,Metal mould makers and patternmakers
72102.00,Sheet metal workers
72103.00,Boilermakers
72104.00,Structural metal and platework fabricators and fitters
72105.00,Ironworkers
72106.01,Welders
72106.02,"Welding, brazing and soldering machine  operators"
72200.00,Electricians (except industrial and power system)
72201.00,Industrial electricians
72202.00,Power system electricians
72203.00,Electrical power line and cable workers
72204.00,Telecommunications line and cable installers and repairers
72205.01,Telephone installers and repairers
72205.02,Switch network installers and repairers
72205.03,Telecommunications service testers
72205.04,Telecommunications equipment technicians
72205.05,Television cable service technicians
72300.00,Plumbers
72301.01,Steamfitters and pipefitters
72301.02,Sprinkler system installers
72302.00,Gas fitters
72310.00,Carpenters
72311.00,Cabinetmakers
72320.00,Bricklayers
72321.00,Insulators
72400.01,Construction millwrights and industrial mechanics
72400.02,Textile machinery mechanics and repairers
72401.00,Heavy-duty equipment mechanics
72402.00,"Heating, refrigeration and air conditioning mechanics"
72403.00,Railway carmen/women
72404.01,Aircraft mechanics
72404.02,Aircraft inspectors
72405.00,Machine fitters
72406.00,Elevator constructors and mechanics
72410.01,Automotive service technicians
72410.02,"Mechanical repairers, motor vehicle manufacturing"
72410.03,Transport truck and trailer mechanics
72411.00,"Auto body collision, refinishing and glass technicians and damage repair estimators"
72420.00,Oil and solid fuel heating mechanics
72421.01,Small electrical appliance servicers and repairers
72421.02,Major appliance repairers/technicians
72422.00,Electrical mechanics
72423.01,"Motorcycle, all-terrain vehicle and other related mechanics"
72423.02,Recreation vehicle technicians
72429.00,Other small engine and small equipment repairers
72500.00,Crane operators
72501.00,Water well drillers
72600.01,Air pilots
72600.02,Flight engineers
72600.03,Flying instructors
72601.01,Air traffic controllers
72601.02,Flight dispatchers
72601.03,Flight service specialists
72602.00,"Deck officers, water transport"
72603.00,"Engineer officers, water transport"
72604.01,Railway traffic controllers
72604.02,Marine traffic regulators
72999.01,Gunsmiths
72999.02,Locksmiths
72999.03,Safe and vault servicers
72999.04,Saw fitters
72999.05,Die setters
72999.06,Commercial divers
73100.00,Concrete finishers
73101.00,Tilesetters
73102.01,Plasterers
73102.02,Drywall installers and finishers
73102.03,Lathers
73110.01,Roofers
73110.02,Shinglers
73111.00,Glaziers
73112.00,Painters and decorators (except interior decorators)
73113.00,Floor covering installers
73200.00,Residential and commercial installers and servicers
73201.00,General building maintenance workers and building superintendents
73202.00,Pest controllers and fumigators
73209.00,Other repairers and servicers
73300.01,Long-haul transport truck drivers
73300.02,Short-haul and local transport truck drivers
73301.01,Bus and streetcar drivers
73301.02,School bus drivers
73301.03,Subway train and light rail transit operators
73310.01,Railway locomotive engineers
73310.02,Yard locomotive engineers
73311.01,Railway conductors
73311.02,Brakemen
73400.00,Heavy equipment operators
73401.00,Printing press operators
73402.01,"Drillers - surface mining, quarrying and construction"
73402.02,"Blasters - surface mining, quarrying and construction"
74100.01,Mail sorters
74100.02,Mailroom clerks
74101.00,Letter carriers
74102.00,Couriers and messengers
74200.01,Railway yard  workers
74200.02,Railway track maintenance workers
74201.01,Engine room crew - water transport
74201.02,"Deck crew, water transport"
74202.00,Air transport ramp attendants
74203.00,Automotive and heavy truck and equipment parts installers and servicers
74204.01,Waterworks maintenance workers
74204.02,Gas maintenance workers
74205.00,Public works maintenance equipment operators and related workers
75100.00,Longshore workers
75101.01,Material handlers (manual)
75101.02,Material handlers (equipment operators)
75110.00,Construction trades helpers and labourers
75119.00,Other trades helpers and labourers
75200.01,Taxi and limousine drivers
75200.02,Chauffeurs
75201.00,Delivery service drivers and door-to-door distributors
75210.01,Lock equipment operators
75210.02,Cable ferry operators
75210.03,Ferry terminal workers
75210.04,Boat operators
75211.01,Railway labourers
75211.02,Motor transport labourers
75212.00,Public works and maintenance labourers
80010.00,Managers in natural resources production and fishing
80020.00,Managers in agriculture
80021.00,Managers in horticulture
80022.00,Managers in aquaculture
82010.00,"Supervisors, logging and forestry"
82020.00,"Supervisors, mining and quarrying"
82021.00,"Contractors and supervisors, oil and gas drilling and services"
82030.01,Agricultural service contractors
82030.02,Farm supervisors
82031.00,"Contractors and supervisors, landscaping, grounds maintenance and horticulture services"
83100.00,Underground production and development miners
83101.01,Oil and gas well drillers and well servicers
83101.02,"Oil and gas well loggers, testers and related workers"
83110.00,Logging machinery operators
83120.00,Fishing masters and officers
83121.00,Fishermen/women
84100.00,Underground mine service and support workers
84101.01,Oil and gas well drilling workers
84101.02,Oil and gas well service operators
84110.00,Chain saw and skidder operators
84111.00,Silviculture and forestry workers
84120.01,Specialized livestock workers
84120.02,Farm machinery operators
84121.00,Fishing vessel deckhands
85100.00,Livestock labourers
85101.00,Harvesting labourers
85102.00,Aquaculture and marine harvest labourers
85103.00,Nursery and greenhouse labourers
85104.00,Trappers and hunters
85110.00,Mine labourers
85111.00,"Oil and gas drilling, servicing and related labourers"
85120.00,Logging and forestry labourers
85121.00,Landscaping and grounds maintenance labourers
90010.00,Manufacturing managers
90011.01,Water supply managers
90011.02,Electrical power distribution managers
90011.03,Natural gas and petroleum supply managers
90011.04,Water pollution control managers
90011.05,Waste systems managers
92010.00,"Supervisors, mineral and metal processing"
92011.00,"Supervisors, petroleum, gas and chemical processing and utilities"
92012.00,"Supervisors, food and beverage processing"
92013.00,"Supervisors, plastic and rubber products manufacturing"
92014.00,"Supervisors, forest products processing"
92015.00,"Supervisors, textile, fabric, fur and leather products processing and manufacturing"
92020.00,"Supervisors, motor vehicle assembling"
92021.00,"Supervisors, electronics and electrical products manufacturing"
92022.00,"Supervisors, furniture and fixtures manufacturing"
92023.00,"Supervisors, other mechanical and metal products manufacturing"
92024.00,"Supervisors, other products manufacturing and assembly"
92100.01,Power engineers
92100.02,Power systems operators
92101.01,Water treatment plant operators
92101.02,Liquid waste plant operators
93100.00,"Central control and process operators, mineral and metal processing"
93101.00,"Central control and process operators, petroleum, gas and chemical processing"
93102.00,"Pulping, papermaking and coating control operators"
93200.01,Aircraft assemblers
93200.02,Aircraft assembly inspectors
94100.00,"Machine operators, mineral and metal processing"
94101.01,Mouldmakers and coremakers
94101.02,Metal casters
94101.03,Foundry furnace operators
94102.01,Glass process control operators
94102.02,Glass forming machine operators
94102.03,Glass finishing machine operators
94102.04,Glass cutters
94103.01,Concrete products forming and finiching machine operators and workers
94103.02,Clay products forming and finishing machine operators
94103.03,Stone forming and finishing workers
94104.00,"Inspectors and testers, mineral and metal processing"
94105.01,Metalworking machine operators
94105.02,Forging machine operators
94106.00,Machining tool operators
94107.00,Machine operators of other metal products
94110.00,Chemical plant machine operators
94111.01,Mixing machine operators - plastic processing
94111.02,Calendering process operators - plastic processing
94111.03,Extruding process operators - plastic processing
94111.04,Moulding process operators - plastic processing
94112.01,Rubber processing machine operators
94112.02,"Assemblers, rubber products"
94112.03,Rubber products inspectors
94120.00,Sawmill machine operators
94121.00,"Pulp mill, papermaking and finishing machine operators"
94122.00,Paper converting machine operators
94123.01,Lumber graders
94123.02,Other wood processing inspectors and graders
94124.00,Woodworking machine operators
94129.00,Other wood processing machine operators
94130.01,"Textile fibre, yarn, hide and pelt processing machine operators"
94130.02,"Textile, hide and pelt dyeing and finishing machine operators"
94131.00,"Weavers, knitters and other fabric making occupations"
94132.00,Industrial sewing machine operators
94133.00,"Inspectors and graders, textile, fabric, fur and leather products manufacturing"
94140.01,"Process control operators, food and beverage processing"
94140.02,"Machine operators, food and beverage processing"
94141.01,Industrial butchers
94141.02,Industrial meat cutters
94141.03,Poultry preparers
94142.01,Fish and seafood plant machine operators
94142.02,Fish and seafood plant cutters and cleaners
94143.00,"Testers and graders, food and beverage processing"
94150.00,Plateless printing equipment operators
94151.01,"Graphic arts camera operators, scanner operators, film strippers and assemblers"
94151.02,Etchers and engravers
94151.03,"Prepress technicians, platemakers, proofmakers, and pre-flight/file-preparation operators"
94152.00,Binding and finishing machine operators
94153.00,Photographic and film processors
94200.01,Motor vehicle assemblers
94200.02,Motor vehicle inspectors and testers
94201.01,Electronics assemblers and fabricators
94201.02,Electronics inspectors and testers
94202.01,"Assemblers, electrical appliance, apparatus and equipment manufacturing"
94202.02,"Inspectors and testers, electrical appliance,  apparatus and equipment manufacturing"
94203.01,"Assemblers, industrial electrical motors and transformers"
94203.02,"Electrical fitters and wirers, industrial electrical motors and transformers"
94203.03,"Inspectors, industrial electrical motors and transformers"
94204.01,Mechanical assemblers
94204.02,Mechanical inspectors
94205.01,Machine operators in electrical apparatus manufacturing
